Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
4,JP_BoP_Current_Account_Balance,5,125,4,103,4.85
4,US_GDP_Annualized_QoQ,7,125,5.6,147,4.76
4,US_U_of_Mich_Sentiment,14,125,11.2,298,4.7
4,US_MNI_Chicago_PMI,6,125,4.8,130,4.62
4,US_Leading_Index,6,125,4.8,144,4.17
4,US_Empire_Manufacturing,4,125,3.2,97,4.12
4,US_Housing_Starts,6,125,4.8,148,4.05
4,US_FOMC_Rate_Decision_Upper_Bound,4,125,3.2,100,4
4,US_CB,4,125,3.2,100,4
4,US_holiday,2,125,1.6,55,3.64
4,US_Initial_Jobless_Claims,21,125,16.8,650,3.23
4,JP_Capital_Spending_YoY,1,125,0.8,32,3.12
4,US_MBA_Mortgage_Applications,20,125,16,650,3.08
4,US_Durable_Goods_Orders,6,125,4.8,210,2.86
4,US_SP_Global_US_Manufacturing_PMI,5,125,4,201,2.49
4,US_Factory_Orders,3,125,2.4,126,2.38
4,US_New_Home_Sales,3,125,2.4,132,2.27
4,US_Conf_Board_Consumer_Confidence,3,125,2.4,149,2.01
4,JP_holiday,2,125,1.6,116,1.72
4,JP_Natl_CPI_YoY,2,125,1.6,146,1.37
4,US_ADP_Employment_Change,2,125,1.6,149,1.34
4,US_ISM_Manufacturing,1,125,0.8,96,1.04
4,JP_Jibun_Bank_Japan_PMI_Mfg,1,125,0.8,118,0.85
4,JP_Tankan_Large_Mfg_Index,0,125,0,27,0
4,JP_Tankan_Large_NonMfg_Index,0,125,0,27,0
4,JP_Tankan_Large_Mfg_Outlook,0,125,0,27,0
4,JP_Tankan_Large_All_Industry_Capex,0,125,0,27,0
