Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
4,EU_ZEW_Survey_Expectations,2,78,2.56,150,1.33
4,EU_ZEW_Survey_Current_Situation,2,78,2.56,150,1.33
4,US_ISM_Manufacturing,1,78,1.28,96,1.04
4,EU_DNBNIMA_PMI_Manufacturing,1,78,1.28,96,1.04
4,US_U_of_Mich_Sentiment,3,78,3.85,298,1.01
4,US_SP_Global_US_Manufacturing_PMI,2,78,2.56,201,1
4,US_FOMC_Rate_Decision_Upper_Bound,1,78,1.28,100,1
4,US_CB,1,78,1.28,100,1
4,US_MBA_Mortgage_Applications,6,78,7.69,650,0.92
4,EU_Unemployment_Rate_SA,1,78,1.28,136,0.74
4,EU_Nationwide_House_Px_NSA_YoY,1,78,1.28,148,0.68
4,US_ADP_Employment_Change,1,78,1.28,149,0.67
4,US_Empire_Manufacturing,0,78,0,97,0
4,EU_SNB_Policy_Rate,0,78,0,16,0
4,EU_GDP_WDA_YoY,0,78,0,88,0
4,EU_GDP_WDA_QoQ,0,78,0,89,0
4,EU_GDP_QoQ,0,78,0,43,0
4,EU_Retail_Sales_Volume_YoY,0,78,0,116,0
4,EU_Unemployment_Change_000s,0,78,0,147,0
4,EU_CPI_YoY,0,78,0,130,0
4,EU_SP_GlobalCIPS_UK_Manufacturing_PMI,0,78,0,29,0
4,EU_Labour_Costs_YoY,0,78,0,49,0
4,EU_SP_GlobalNevi_Netherlands_Manufacturing_PMI,0,78,0,22,0
4,EU_Mortgage_Approvals,0,78,0,109,0
4,US_Housing_Starts,0,78,0,148,0
4,EU_SP_Global_Greece_Manufacturing_PMI,0,78,0,24,0
4,EU_HCOB_Italy_Manufacturing_PMI,0,78,0,23,0
4,EU_HCOB_Spain_Manufacturing_PMI,0,78,0,23,0
4,EU_AIB_Ireland_PMI_Mfg,0,78,0,28,0
4,US_Personal_Spending,0,78,0,119,0
4,US_Personal_Income,0,78,0,119,0
4,EU_GDP_YoY,0,78,0,89,0
4,US_MNI_Chicago_PMI,0,78,0,130,0
