Outlier Threshold,Factor,Factor Outlier Count,Total Outlier,Factor Outlier Count (% of Outliers),Total count of Factor,Factor Outlier Count (% of Total count of Factor)
3,CN_CB,0,29,0,0,
4,CN_Manufacturing_PMI,2,12,16.67,104,1.92
4,US_FOMC_Rate_Decision_Upper_Bound,1,12,8.33,99,1.01
4,US_CB,1,12,8.33,99,1.01
4,CN_HK_CPI_Composite_YoY,1,12,8.33,106,0.94
4,US_Leading_Index,1,12,8.33,142,0.7
4,US_ADP_Employment_Change,1,12,8.33,148,0.68
4,US_Trade_Balance,1,12,8.33,148,0.68
4,US_CPI_YoY,1,12,8.33,147,0.68
4,US_MBA_Mortgage_Applications,2,12,16.67,638,0.31
4,US_Initial_Jobless_Claims,1,12,8.33,640,0.16
4,US_Empire_Manufacturing,0,12,0,95,0
4,CN_holiday,0,12,0,205,0
4,US_Conf_Board_Consumer_Confidence,0,12,0,147,0
4,US_Existing_Home_Sales,0,12,0,123,0
4,US_Housing_Starts,0,12,0,143,0
4,US_U_of_Mich_Sentiment,0,12,0,293,0
4,US_Factory_Orders,0,12,0,125,0
4,US_Unemployment_Rate,0,12,0,147,0
4,US_Change_in_Nonfarm_Payrolls,0,12,0,147,0
4,US_Durable_Goods_Orders,0,12,0,208,0
4,US_New_Home_Sales,0,12,0,130,0
4,US_ISM_Manufacturing,0,12,0,94,0
4,US_SP_Global_US_Manufacturing_PMI,0,12,0,199,0
4,US_GDP_Annualized_QoQ,0,12,0,145,0
4,CN_Retail_Sales_YoY,0,12,0,81,0
4,US_holiday,0,12,0,55,0
4,US_Personal_Income,0,12,0,119,0
4,CN_HK_Exports_YoY,0,12,0,109,0
4,CN_HK_Retail_Sales_Value_YoY,0,12,0,122,0
4,US_Personal_Spending,0,12,0,119,0
4,CN_GDP_YoY,0,12,0,33,0
4,CN_Trade_Balance,0,12,0,108,0
4,CN_Industrial_Production_YoY,0,12,0,87,0
4,CN_Money_Supply_M2_YoY,0,12,0,120,0
4,CN_CPI_YoY,0,12,0,113,0
4,CN_PPI_YoY,0,12,0,123,0
4,CN_Caixin_China_PMI_Mfg,0,12,0,95,0
4,US_MNI_Chicago_PMI,0,12,0,129,0
4,CN_Exports_YoY,0,12,0,111,0
4,CN_HK_GDP_YoY,0,12,0,58,0
4,CN_CB,0,12,0,0,
